Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1 (alpha=0.5),No. of iterations,Average value,No. of iterations,Best value,
G1,800,19176,9618.73,11235,11181.0,30,11382.6,100,11459,12078
G2,800,19176,9599.5,11241,11185.3,30,11370.5,100,11474,12084
G3,800,19176,9601.1,11217,11178.5,30,11369.5,100,11447,12077
G4,800,19176,9589.2,11283,11185.4,30,11375.1,100,11458,
G5,800,19176,9598.2,11321,11171.6,30,11365.4,100,11502,
G6,800,19176,63.53,1165,1662.7,30,1910.67,100,1975,
G7,800,19176,-76.23,835,1503.77,30,1746.27,100,1853,
G8,800,19176,-95.77,957,1499.03,30,1745.87,100,1846,
G9,800,19176,-47.0,928,1554.0,30,1789.7,100,1899,
G10,800,19176,-86.4,841,1509.33,30,1737.57,100,1823,
G11,800,1600,20.33,384,468.47,30,480.2,100,504,627
G12,800,1600,-5.27,383,453.2,30,468.0,100,492,621
G13,800,1600,13.2,408,477.13,30,493.27,100,514,645
G14,800,4694,2359.83,2929,2938.7,30,2969.03,100,2991,3187
G15,800,4661,2336.27,2917,2914.77,30,2948.67,100,2971,3169
G16,800,4672,2337.57,2890,2922.93,30,2954.5,100,2986,3172
G17,800,4667,2342.33,2880,2920.0,30,2952.27,100,2978,
G18,800,4694,38.77,584,785.87,30,864.03,100,902,
G19,800,4661,-59.6,453,694.1,30,774.27,100,831,
G20,800,4672,-24.9,484,732.0,30,803.87,100,855,
G21,800,4667,-32.73,537,713.37,30,798.43,100,841,
G22,2000,19990,9991.27,12720,12677.7,30,12898.6,100,13003,14123
G23,2000,19990,9972.03,12801,12693.7,30,12905.8,100,12989,14129
G24,2000,19990,10005.9,12800,12682.0,30,12916.8,100,13007,14131
G25,2000,19990,10012.7,12744,12691.6,30,12927.0,100,13034,
G26,2000,19990,9995.53,12794,12684.4,30,12902.8,100,12974,
G27,2000,19990,-1.53,1665,2541.33,30,2862.67,100,2952,
G28,2000,19990,-61.63,1423,2514.33,30,2814.83,100,2913,
G29,2000,19990,32.97,1567,2623.37,30,2923.8,100,3013,
G30,2000,19990,41.23,1634,2599.33,30,2923.23,100,3025,
G31,2000,19990,-37.07,1660,2514.8,30,2838.8,100,2935,
G32,2000,4000,20.8,965,1148.93,30,1183.53,100,1226,1560
G33,2000,4000,-15.13,949,1132.13,30,1168.13,100,1216,1537
G34,2000,4000,-24.0,894,1131.8,30,1165.6,100,1218,1541
G35,2000,11778,5892.07,7280,7360.1,30,7440.77,100,7492,8000
G36,2000,11766,5882.2,7301,7360.33,30,7436.33,100,7471,7996
G37,2000,11785,5890.4,7317,7376.7,30,7453.47,100,7488,8009
G38,2000,11779,5889.23,7325,7363.83,30,7440.47,100,7481,
G39,2000,11778,15.6,1313,1823.43,30,2060.97,100,2151,
G40,2000,11766,-57.2,1262,1874.8,30,2059.1,100,2130,
G41,2000,11785,-18.73,1307,1876.93,30,2070.27,100,2142,
G42,2000,11779,73.9,1471,1938.17,30,2144.4,100,2216,
G43,1000,9990,5017.43,6383,6322.3,30,6437.17,100,6518,7027
G44,1000,9990,4985.47,6349,6323.3,30,6438.07,100,6490,7022
G45,1000,9990,5000.9,6375,6326.27,30,6447.6,100,6516,7020
G46,1000,9990,5001.23,6403,6316.47,30,6425.13,100,6504,
G47,1000,9990,5000.57,6383,6325.1,30,6438.57,100,6498,
G48,3000,6000,3006.07,6000,6000.0,30,6000.0,100,6000,6000
G49,3000,6000,3001.2,6000,6000.0,30,6000.0,100,6000,6000
G50,3000,6000,2995.87,5880,5859.6,30,5859.93,100,5874,5988
G51,1000,5909,2951.87,3650,3687.57,30,3727.2,100,3755,
G52,1000,5916,2950.9,3670,3690.8,30,3732.23,100,3758,
G53,1000,5914,2959.4,3663,3687.1,30,3727.77,100,3752,
G54,1000,5916,2961.63,3639,3690.23,30,3731.0,100,3756,
