Name,V,E,Randomized_avg,Greedy,SemiGreedy_avg,SemiGreedy_best,SemiGreedy_alpha,LocalSearch_avg,LocalSearch_best,LocalSearch_reps,GRASP_best,GRASP_iterations,KnownBestOrUpperBound
G1,800,19176,9618.73,11235,11181,11253,0.5,11382.6,11459,30,11459,100,12078
G2,800,19176,9599.5,11241,11185.3,11280,0.5,11370.5,11449,30,11474,100,12084
G3,800,19176,9601.1,11217,11178.5,11252,0.5,11369.5,11426,30,11447,100,12077
G4,800,19176,9589.2,11283,11185.4,11245,0.5,11375.1,11443,30,11458,100,
G5,800,19176,9598.2,11321,11171.6,11270,0.5,11365.4,11502,30,11502,100,
G6,800,19176,63.5333,1165,1662.7,1725,0.5,1910.67,1965,30,1975,100,
G7,800,19176,-76.2333,835,1503.77,1619,0.5,1746.27,1821,30,1853,100,
G8,800,19176,-95.7667,957,1499.03,1569,0.5,1745.87,1826,30,1846,100,
G9,800,19176,-47,928,1554,1631,0.5,1789.7,1893,30,1899,100,
G10,800,19176,-86.4,841,1509.33,1590,0.5,1737.57,1799,30,1823,100,
G11,800,1600,20.3333,384,468.467,490,0.5,480.2,498,30,504,100,627
G12,800,1600,-5.26667,383,453.2,478,0.5,468,486,30,492,100,621
G13,800,1600,13.2,408,477.133,500,0.5,493.267,512,30,514,100,645
G14,800,4694,2359.83,2929,2938.7,2954,0.5,2969.03,2986,30,2991,100,3187
G15,800,4661,2336.27,2917,2914.77,2941,0.5,2948.67,2970,30,2971,100,3169
G16,800,4672,2337.57,2890,2922.93,2957,0.5,2954.5,2976,30,2986,100,3172
G17,800,4667,2342.33,2880,2920,2943,0.5,2952.27,2972,30,2978,100,
G18,800,4694,38.7667,584,785.867,837,0.5,864.033,899,30,902,100,
G19,800,4661,-59.6,453,694.1,759,0.5,774.267,811,30,831,100,
G20,800,4672,-24.9,484,732,785,0.5,803.867,854,30,855,100,
G21,800,4667,-32.7333,537,713.367,750,0.5,798.433,829,30,841,100,
G22,2000,19990,9991.27,12720,12677.7,12743,0.5,12898.6,12981,30,13003,100,14123
G23,2000,19990,9972.03,12801,12693.7,12785,0.5,12905.8,12989,30,12989,100,14129
G24,2000,19990,10005.9,12800,12682,12747,0.5,12916.8,12987,30,13007,100,14131
G25,2000,19990,10012.7,12744,12691.6,12764,0.5,12927,13034,30,13034,100,
G26,2000,19990,9995.53,12794,12684.4,12742,0.5,12902.8,12974,30,12974,100,
G27,2000,19990,-1.53333,1665,2541.33,2611,0.5,2862.67,2952,30,2952,100,
G28,2000,19990,-61.6333,1423,2514.33,2617,0.5,2814.83,2872,30,2913,100,
G29,2000,19990,32.9667,1567,2623.37,2727,0.5,2923.8,2997,30,3013,100,
G30,2000,19990,41.2333,1634,2599.33,2653,0.5,2923.23,2976,30,3025,100,
G31,2000,19990,-37.0667,1660,2514.8,2578,0.5,2838.8,2919,30,2935,100,
G32,2000,4000,20.8,965,1148.93,1196,0.5,1183.53,1220,30,1226,100,1560
G33,2000,4000,-15.1333,949,1132.13,1170,0.5,1168.13,1206,30,1216,100,1537
G34,2000,4000,-24,894,1131.8,1172,0.5,1165.6,1204,30,1218,100,1541
G35,2000,11778,5892.07,7280,7360.1,7380,0.5,7440.77,7477,30,7492,100,8000
G36,2000,11766,5882.2,7301,7360.33,7408,0.5,7436.33,7467,30,7471,100,7996
G37,2000,11785,5890.4,7317,7376.7,7421,0.5,7453.47,7488,30,7488,100,8009
G38,2000,11779,5889.23,7325,7363.83,7408,0.5,7440.47,7473,30,7481,100,
G39,2000,11778,15.6,1313,1823.43,2003,0.5,2060.97,2151,30,2151,100,
G40,2000,11766,-57.2,1262,1874.8,1972,0.5,2059.1,2115,30,2130,100,
G41,2000,11785,-18.7333,1307,1876.93,1962,0.5,2070.27,2142,30,2142,100,
G42,2000,11779,73.9,1471,1938.17,2012,0.5,2144.4,2199,30,2216,100,
G43,1000,9990,5017.43,6383,6322.3,6373,0.5,6437.17,6489,30,6518,100,7027
G44,1000,9990,4985.47,6349,6323.3,6372,0.5,6438.07,6490,30,6490,100,7022
G45,1000,9990,5000.9,6375,6326.27,6373,0.5,6447.6,6491,30,6516,100,7020
G46,1000,9990,5001.23,6403,6316.47,6371,0.5,6425.13,6477,30,6504,100,
G47,1000,9990,5000.57,6383,6325.1,6383,0.5,6438.57,6487,30,6498,100,
G48,3000,6000,3006.07,6000,6000,6000,0.5,6000,6000,30,6000,100,6000
G49,3000,6000,3001.2,6000,6000,6000,0.5,6000,6000,30,6000,100,6000
G50,3000,6000,2995.87,5880,5859.6,5868,0.5,5859.93,5870,30,5874,100,5988
G51,1000,5909,2951.87,3650,3687.57,3713,0.5,3727.2,3746,30,3755,100,
G52,1000,5916,2950.9,3670,3690.8,3715,0.5,3732.23,3748,30,3758,100,
G53,1000,5914,2959.4,3663,3687.1,3708,0.5,3727.77,3750,30,3752,100,
G54,1000,5916,2961.63,3639,3690.23,3708,0.5,3731,3749,30,3756,100,
